ts_code,symbol,name,area,industry,market,list_date
159229.SZ,159229,自由现金流ETF广发,,T+1交易,ETF,20250515
159221.SZ,159221,现金流ETF嘉实,,T+1交易,ETF,20250513
563780.SH,563780,现金流全指ETF,,T+1交易,ETF,20250513
159392.SZ,159392,航空ETF,,T+1交易,ETF,20250514
159236.SZ,159236,自由现金流ETF工银,,T+1交易,ETF,20250516
563680.SH,563680,800自由现金流ETF,,T+1交易,ETF,20250515
159227.SZ,159227,航空航天ETF,,T+1交易,ETF,20250516
159220.SZ,159220,港股通红利ETF,,T+0交易,ETF,20250512
561870.SH,561870,自由现金流ETF全指,,T+1交易,ETF,20250509
159208.SZ,159208,航天航空ETF,,T+1交易,ETF,20250512
563900.SH,563900,沪深300自由现金流ETF摩根,,T+1交易,ETF,20250507
159219.SZ,159219,深证100ETF融通,,T+1交易,ETF,20250513
159235.SZ,159235,中证现金流ETF,,T+1交易,ETF,20250430
561080.SH,561080,全指现金流ETF华安,,T+1交易,ETF,20250430
159232.SZ,159232,现金流ETF南方,,T+1交易,ETF,20250430
563390.SH,563390,现金流ETF全指,,T+1交易,ETF,20250430
159382.SZ,159382,创业板人工智能ETF南方,,T+1交易,ETF,20250509
159213.SZ,159213,机器人ETF基金,,T+1交易,ETF,20250430
159231.SZ,159231,通用航空ETF华宝,,T+1交易,ETF,20250429
516460.SH,516460,现金流ETF800,,T+1交易,ETF,20250428
563990.SH,563990,800现金流ETF,,T+1交易,ETF,20250424
510320.SH,510320,沪深300ETF中金,,T+1交易,ETF,20250425
563700.SH,563700,红利价值ETF,,T+1交易,ETF,20250428
159222.SZ,159222,自由现金流ETF易方达,,T+1交易,ETF,20250417
159225.SZ,159225,现金流ETF基金,,T+1交易,ETF,20250417
562080.SH,562080,300现金流ETF,,T+1交易,ETF,20250415
